Year,Trt,TrtO,Season,Drainage,Nitrate load,Flow-weighted nitrate-N concentration
2013,CP-SP-150-S,CPP-150,4,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2013,CP-SPPOLY-150-C,CPPPOLY-150,4,0,0,
2014,CP-SPUREA-150-C,CPPUREA-150,4,2.495361024,5.669907043,22.72179051
2014,CP-SPUREA-150-S,CPPUREA-150,4,3.43668096,1.945034239,5.65962992
2014,CP-SPUREA-150-S,CPPUREA-150,4,2.655027456,3.916585129,14.75158052
2014,CP-SPUREA-150-C,CPPUREA-150,4,0,0,
2014,CP-SPUREA-150-C,CPPUREA-150,4,1.894344192,4.387448562,23.16077818
2014,CP-SPUREA-150-C,CPPUREA-150,4,1.75272192,4.85118632,27.67801478
2014,CP-SPUREA-150-S,CPPUREA-150,4,0.567561984,0.680136048,11.9834673
2014,CP-SPUREA-150-S,CPPUREA-150,4,1.126345728,2.22479616,19.75233807
2014,CP-SP-150-S,CPP-150,4,1.42500096,0.880231153,6.177056559
2014,CP-SP-150-C,CPP-150,4,2.518086912,3.140484732,12.47170905
2014,CP-SP-150-S,CPP-150,4,1.725216768,1.685944181,9.772361434
2014,CP-SP-150-C,CPP-150,4,1.81563264,3.823631965,21.05950224
2014,CP-SP-150-S,CPP-150,4,1.357896192,2.660634236,19.59379702
2014,CP-SP-150-S,CPP-150,4,0.500262144,0.953389152,19.05779126
2014,CP-SP-150-C,CPP-150,4,1.256946432,2.15377294,17.13496204
2014,CP-SP-150-C,CPP-150,4,1.071237888,0.539957916,5.04050428
2014,CP-SPPOLY-150-C,CPPPOLY-150,4,2.690920704,3.517862939,13.07308288
2014,CP-SPPOLY-150-S,CPPPOLY-150,4,4.679679744,3.988092459,8.52214826
2014,CP-SPPOLY-150-S,CPPPOLY-150,4,0,0,
2014,CP-SPPOLY-150-S,CPPPOLY-150,4,0.48670464,0.57496183,11.81336242
2014,CP-SPPOLY-150-C,CPPPOLY-150,4,0.557808384,1.081118941,19.381547
2014,CP-SPPOLY-150-C,CPPPOLY-150,4,0.989307648,2.033473793,20.55451403
2014,CP-SPPOLY-150-S,CPPPOLY-150,4,1.047439104,1.517963637,14.49214213
2015,CP-SPUREA-150-S,CPPPOLY-150,4,11.82058291,16.55201412,14.00270549
2015,CP-SPUREA-150-C,CPPUREA-150,4,14.4659543,21.50410315,14.86531943
2015,CP-SPUREA-150-C,CPPUREA-150,4,12.78901786,25.32753278,19.80412653
2015,CP-SPUREA-150-S,CPPUREA-150,4,0.49694592,0.862939087,17.36484901
2015,CP-SPUREA-150-S,CPPUREA-150,4,15.39625267,26.60762081,17.2818811
2015,CP-SPUREA-150-S,CPPUREA-150,4,7.777715712,19.80634493,25.46550384
2015,CP-SPUREA-150-C,CPPUREA-150,4,5.327123712,6.367865659,11.95366581
2015,CP-SPUREA-150-C,CPPUREA-150,4,23.10647347,38.1407667,16.50652868
2015,CP-SP-150-C,CPP-150,4,11.93118874,14.61535974,12.24970962
2015,CP-SP-150-S,CPP-150,4,12.40892006,15.87271481,12.79137486
2015,CP-SP-150-C,CPP-150,4,10.31433446,10.63736652,10.31318749
2015,CP-SP-150-S,CPP-150,4,19.67145062,35.2017333,17.89483347
2015,CP-SP-150-C,CPP-150,4,8.420575488,13.14125199,15.606121
2015,CP-SP-150-C,CPP-150,4,18.16666522,26.88593801,14.79960009
2015,CP-SP-150-S,CPP-150,4,17.95998643,30.16429631,16.79527789
2015,CP-SP-150-S,CPP-150,4,8.368978944,10.62508104,12.69579134
2015,CP-SPPOLY-150-S,CPPPOLY-150,4,7.059850752,10.75014594,15.22715751
2015,CP-SPPOLY-150-S,CPPPOLY-150,4,11.22571085,10.32632375,9.198815016
2015,CP-SPPOLY-150-C,CPPPOLY-150,4,16.94463667,13.34324071,7.874610104
2015,CP-SPPOLY-150-C,CPPPOLY-150,4,9.691469568,19.53601335,20.15794737
2015,CP-SPPOLY-150-C,CPPPOLY-150,4,5.394813696,4.577736727,8.485439877
2015,CP-SPPOLY-150-S,CPPPOLY-150,4,18.60460186,28.66547638,15.40773439
2015,CP-SPPOLY-150-S,CPPPOLY-150,4,6.775240704,10.00657696,14.76933056
2015,CP-SPPOLY-150-C,CPPPOLY-150,4,10.33813325,11.62482255,11.24460507
2011,CP-SPUREA-150-S,CPPUREA-150,Annual,28.67730714,28.05401526,9.782653276
2011,CP-SPUREA-150-C,CPPUREA-150,Annual,27.22199686,27.20087797,9.992241975
2011,CP-SPUREA-150-C,CPPUREA-150,Annual,32.66458694,32.08652931,9.823032314
2011,CP-SPUREA-150-S,CPPUREA-150,Annual,24.46950656,31.90203287,13.03746473
2011,CP-SPUREA-150-S,CPPUREA-150,Annual,8.36224896,8.170515675,9.770715646
2011,CP-SPUREA-150-S,CPPUREA-150,Annual,17.09593939,27.06006067,15.82835553
2011,CP-SPUREA-150-C,CPPUREA-150,Annual,15.11447117,21.04917877,13.92650695
2011,CP-SPUREA-150-C,CPPUREA-150,Annual,31.15485971,39.65288276,12.72767174
2011,CP-SP-150-C,CPP-150,Annual,28.61648531,29.79120251,10.41050366
2011,CP-SP-150-S,CPP-150,Annual,29.7981177,35.67025068,11.9706389
2011,CP-SP-150-C,CPP-150,Annual,26.13203206,33.90402255,12.97412404
2011,CP-SP-150-S,CPP-150,Annual,34.69967558,43.02227114,12.39846495
2011,CP-SP-150-C,CPP-150,Annual,21.15138874,39.37634077,18.61643283
2011,CP-SP-150-C,CPP-150,Annual,27.29732717,53.23547426,19.50208309
2011,CP-SP-150-S,CPP-150,Annual,28.08617395,39.27088009,13.98228187
2011,CP-SP-150-S,CPP-150,Annual,12.20702054,15.37038987,12.59143442
2011,CP-SPPOLY-150-S,CPPPOLY-150,Annual,26.15115725,22.53257011,8.616280301
2011,CP-SPPOLY-150-S,CPPPOLY-150,Annual,4.831055616,4.109046279,8.505483284
2011,CP-SPPOLY-150-C,CPPPOLY-150,Annual,45.47568858,43.22896916,9.505951533
2011,CP-SPPOLY-150-C,CPPPOLY-150,Annual,25.80323821,29.98693675,11.62138508
2011,CP-SPPOLY-150-C,CPPPOLY-150,Annual,14.12828467,19.28748451,13.65168169
2011,CP-SPPOLY-150-S,CPPPOLY-150,Annual,26.14012755,36.18595212,13.84306639
2011,CP-SPPOLY-150-S,CPPPOLY-150,Annual,23.32963584,26.63094538,11.41507119
2011,CP-SPPOLY-150-C,CPPPOLY-150,Annual,11.28130637,12.77353039,11.32274044
2012,CP-SPUREA-150-C,CPPUREA-150,Annual,1.61568384,1.99017459,12.31784673
2012,CP-SPUREA-150-S,CPPUREA-150,Annual,2.94461184,3.433096845,11.65891137
2012,CP-SPUREA-150-S,CPPUREA-150,Annual,6.780312576,9.41245997,13.88204432
2012,CP-SPUREA-150-C,CPPUREA-150,Annual,0,0,
2012,CP-SPUREA-150-C,CPPUREA-150,Annual,2.325550848,3.004888143,12.92118874
2012,CP-SPUREA-150-C,CPPUREA-150,Annual,0.873532416,1.548753842,17.72978099
2012,CP-SPUREA-150-S,CPPUREA-150,Annual,2.742127104,3.109615776,11.34015915
2012,CP-SPUREA-150-S,CPPUREA-150,Annual,1.562819328,2.36859093,15.15588455
2012,CP-SP-150-S,CPP-150,Annual,7.32787968,6.776571104,9.247656074
2012,CP-SP-150-C,CPP-150,Annual,8.065056768,8.674131156,10.75520161
2012,CP-SP-150-S,CPP-150,Annual,5.016374016,5.697219985,11.35724722
2012,CP-SP-150-C,CPP-150,Annual,2.482583808,3.906194909,15.73439292
2012,CP-SP-150-S,CPP-150,Annual,3.339437568,6.479847815,19.40400946
2012,CP-SP-150-S,CPP-150,Annual,2.127942912,4.182601448,19.65560929
2012,CP-SP-150-C,CPP-150,Annual,0.15800832,0.255471665,16.16824134
2012,CP-SP-150-C,CPP-150,Annual,1.594420992,2.3631784,14.82154595
2012,CP-SPPOLY-150-C,CPPPOLY-150,Annual,0,0,
2012,CP-SPPOLY-150-C,CPPPOLY-150,Annual,1.854061824,1.921720388,10.36492075
2012,CP-SPPOLY-150-S,CPPPOLY-150,Annual,2.670828288,2.559996727,9.585029254
2012,CP-SPPOLY-150-S,CPPPOLY-150,Annual,0,0,
2012,CP-SPPOLY-150-S,CPPPOLY-150,Annual,0.731617536,1.168059872,15.96544389
2012,CP-SPPOLY-150-C,CPPPOLY-150,Annual,1.17140736,1.492458965,12.74073406
